basDt,srtnCd,itmsNm,clpr,mrktTotAmt,stock_name,year_month
2022-01-28,373220,LG에너지솔루션,450000,105300000000000,LG에너지솔루션,2022-01
2022-02-28,373220,LG에너지솔루션,412000,96408000000000,LG에너지솔루션,2022-02
2022-03-31,373220,LG에너지솔루션,442000,103428000000000,LG에너지솔루션,2022-03
2022-04-29,373220,LG에너지솔루션,417000,97578000000000,LG에너지솔루션,2022-04
2022-05-31,373220,LG에너지솔루션,444000,103896000000000,LG에너지솔루션,2022-05
2022-06-30,373220,LG에너지솔루션,371000,86814000000000,LG에너지솔루션,2022-06
2022-07-29,373220,LG에너지솔루션,422000,98748000000000,LG에너지솔루션,2022-07
2022-08-31,373220,LG에너지솔루션,462500,108225000000000,LG에너지솔루션,2022-08
2022-09-30,373220,LG에너지솔루션,426500,99801000000000,LG에너지솔루션,2022-09
2022-10-31,373220,LG에너지솔루션,528000,123552000000000,LG에너지솔루션,2022-10
2022-11-30,373220,LG에너지솔루션,587000,137358000000000,LG에너지솔루션,2022-11
2022-12-29,373220,LG에너지솔루션,435500,101907000000000,LG에너지솔루션,2022-12
2023-01-31,373220,LG에너지솔루션,521000,121914000000000,LG에너지솔루션,2023-01
2023-02-28,373220,LG에너지솔루션,523000,122382000000000,LG에너지솔루션,2023-02
2023-03-31,373220,LG에너지솔루션,584000,136656000000000,LG에너지솔루션,2023-03
2023-04-28,373220,LG에너지솔루션,581000,135954000000000,LG에너지솔루션,2023-04
2023-05-31,373220,LG에너지솔루션,599000,140166000000000,LG에너지솔루션,2023-05
2023-06-30,373220,LG에너지솔루션,553000,129402000000000,LG에너지솔루션,2023-06
2023-07-31,373220,LG에너지솔루션,560000,131040000000000,LG에너지솔루션,2023-07
2023-08-31,373220,LG에너지솔루션,544000,127296000000000,LG에너지솔루션,2023-08
2023-09-27,373220,LG에너지솔루션,476500,111501000000000,LG에너지솔루션,2023-09
2023-10-31,373220,LG에너지솔루션,385500,90207000000000,LG에너지솔루션,2023-10
2023-11-30,373220,LG에너지솔루션,454500,106353000000000,LG에너지솔루션,2023-11
2023-12-28,373220,LG에너지솔루션,427500,100035000000000,LG에너지솔루션,2023-12
2024-01-31,373220,LG에너지솔루션,381000,89154000000000,LG에너지솔루션,2024-01
2024-02-29,373220,LG에너지솔루션,401500,93951000000000,LG에너지솔루션,2024-02
2024-03-29,373220,LG에너지솔루션,395000,92430000000000,LG에너지솔루션,2024-03
2024-04-30,373220,LG에너지솔루션,389000,91026000000000,LG에너지솔루션,2024-04
2024-05-31,373220,LG에너지솔루션,331000,77454000000000,LG에너지솔루션,2024-05
2024-06-28,373220,LG에너지솔루션,326500,76401000000000,LG에너지솔루션,2024-06
2024-07-31,373220,LG에너지솔루션,324000,75816000000000,LG에너지솔루션,2024-07
2024-08-30,373220,LG에너지솔루션,388000,90792000000000,LG에너지솔루션,2024-08
2024-09-30,373220,LG에너지솔루션,414500,96993000000000,LG에너지솔루션,2024-09
2024-10-31,373220,LG에너지솔루션,407500,95355000000000,LG에너지솔루션,2024-10
2024-11-29,373220,LG에너지솔루션,381500,89271000000000,LG에너지솔루션,2024-11
2024-12-30,373220,LG에너지솔루션,348000,81432000000000,LG에너지솔루션,2024-12
2020-01-31,000660,SK하이닉스,93500,68068221127500,SK하이닉스,2020-01
2020-02-28,000660,SK하이닉스,87900,63991407883500,SK하이닉스,2020-02
2020-03-31,000660,SK하이닉스,83300,60642597004500,SK하이닉스,2020-03
2020-04-29,000660,SK하이닉스,83700,60933797950500,SK하이닉스,2020-04
2020-05-29,000660,SK하이닉스,81500,59332192747500,SK하이닉스,2020-05
2020-06-30,000660,SK하이닉스,85100,61953001261500,SK하이닉스,2020-06
2020-07-31,000660,SK하이닉스,82800,60278595822000,SK하이닉스,2020-07
2020-08-31,000660,SK하이닉스,75100,54672977611500,SK하이닉스,2020-08
2020-09-29,000660,SK하이닉스,84000,61152198660000,SK하이닉스,2020-09
2020-10-30,000660,SK하이닉스,79900,58167388963500,SK하이닉스,2020-10
2020-11-30,000660,SK하이닉스,97500,70980230587500,SK하이닉스,2020-11
2020-12-30,000660,SK하이닉스,118500,86268280252500,SK하이닉스,2020-12
2021-01-29,000660,SK하이닉스,122500,89180289712500,SK하이닉스,2021-01
2021-02-26,000660,SK하이닉스,141500,103012334647500,SK하이닉스,2021-02
2021-03-31,000660,SK하이닉스,132500,96460313362500,SK하이닉스,2021-03
2021-04-30,000660,SK하이닉스,128000,93184302720000,SK하이닉스,2021-04
2021-05-31,000660,SK하이닉스,127000,92456300355000,SK하이닉스,2021-05
2021-06-30,000660,SK하이닉스,127500,92820301537500,SK하이닉스,2021-06
2021-07-30,000660,SK하이닉스,112500,81900266062500,SK하이닉스,2021-07
2021-08-31,000660,SK하이닉스,106500,77532251872500,SK하이닉스,2021-08
2021-09-30,000660,SK하이닉스,103000,74984243595000,SK하이닉스,2021-09
2021-10-29,000660,SK하이닉스,103000,74984243595000,SK하이닉스,2021-10
2021-11-30,000660,SK하이닉스,114000,82992269610000,SK하이닉스,2021-11
2021-12-30,000660,SK하이닉스,131000,95368309815000,SK하이닉스,2021-12
2022-01-28,000660,SK하이닉스,120500,87724284982500,SK하이닉스,2022-01
2022-02-28,000660,SK하이닉스,123500,89908292077500,SK하이닉스,2022-02
2022-03-31,000660,SK하이닉스,118000,85904279070000,SK하이닉스,2022-03
2022-04-29,000660,SK하이닉스,112500,81900266062500,SK하이닉스,2022-04
2022-05-31,000660,SK하이닉스,108000,78624255420000,SK하이닉스,2022-05
2022-06-30,000660,SK하이닉스,91000,66248215215000,SK하이닉스,2022-06
2022-07-29,000660,SK하이닉스,97900,71271431533500,SK하이닉스,2022-07
2022-08-31,000660,SK하이닉스,95200,69305825148000,SK하이닉스,2022-08
2022-09-30,000660,SK하이닉스,83100,60496996531500,SK하이닉스,2022-09
2022-10-31,000660,SK하이닉스,82700,60205795585500,SK하이닉스,2022-10
2022-11-30,000660,SK하이닉스,85000,61880201025000,SK하이닉스,2022-11
2022-12-29,000660,SK하이닉스,75000,54600177375000,SK하이닉스,2022-12
2023-01-31,000660,SK하이닉스,88500,64428209302500,SK하이닉스,2023-01
