날짜,LG에너지솔루션,SK하이닉스,삼성전자
2020-01,,93500.0,56400.0
2020-02,,87900.0,54200.0
2020-03,,83300.0,47750.0
2020-04,,83700.0,50000.0
2020-05,,81500.0,50700.0
2020-06,,85100.0,52800.0
2020-07,,82800.0,57900.0
2020-08,,75100.0,54000.0
2020-09,,84000.0,58200.0
2020-10,,79900.0,56600.0
2020-11,,97500.0,66700.0
2020-12,,118500.0,81000.0
2021-01,,122500.0,82000.0
2021-02,,141500.0,82500.0
2021-03,,132500.0,81400.0
2021-04,,128000.0,81500.0
2021-05,,127000.0,80500.0
2021-06,,127500.0,80700.0
2021-07,,112500.0,78500.0
2021-08,,106500.0,76700.0
2021-09,,103000.0,74100.0
2021-10,,103000.0,69800.0
2021-11,,114000.0,71300.0
2021-12,,131000.0,78300.0
2022-01,450000.0,120500.0,73300.0
2022-02,412000.0,123500.0,72100.0
2022-03,442000.0,118000.0,69600.0
2022-04,417000.0,112500.0,67400.0
2022-05,444000.0,108000.0,67400.0
2022-06,371000.0,91000.0,57000.0
2022-07,422000.0,97900.0,61400.0
2022-08,462500.0,95200.0,59700.0
2022-09,426500.0,83100.0,53100.0
2022-10,528000.0,82700.0,59400.0
2022-11,587000.0,85000.0,62200.0
2022-12,435500.0,75000.0,55300.0
2023-01,521000.0,88500.0,61000.0
2023-02,523000.0,89400.0,60600.0
2023-03,584000.0,88600.0,64000.0
2023-04,581000.0,89500.0,65500.0
2023-05,599000.0,108600.0,71400.0
2023-06,553000.0,115200.0,72200.0
2023-07,560000.0,123400.0,69800.0
2023-08,544000.0,121800.0,66900.0
2023-09,476500.0,114700.0,68400.0
2023-10,385500.0,116300.0,66900.0
2023-11,454500.0,133900.0,72800.0
2023-12,427500.0,141500.0,78500.0
2024-01,381000.0,134700.0,72700.0
2024-02,401500.0,156200.0,73400.0
2024-03,395000.0,183000.0,82400.0
2024-04,389000.0,174200.0,77500.0
2024-05,331000.0,189200.0,73500.0
2024-06,326500.0,236500.0,81500.0
2024-07,324000.0,194600.0,83900.0
2024-08,388000.0,173700.0,74300.0
2024-09,414500.0,174600.0,61500.0
2024-10,407500.0,186300.0,59200.0
2024-11,381500.0,159900.0,54200.0
2024-12,348000.0,173900.0,53200.0
