시장,종목명,종목코드
KOSDAQ,3S,060310
KOSDAQ,APS,054620
KOSDAQ,APS이노베이션,079810
KOSDAQ,CG인바이츠,083790
KOSDAQ,CJ프레시웨이,051500
KOSDAQ,CNT85,056730
KOSDAQ,CS,065770
KOSDAQ,CSA 코스믹,083660
KOSDAQ,DGI,099520
KOSDAQ,DH오토리드,290120
KOSDAQ,DH오토웨어,025440
KOSDAQ,DMS,068790
KOSDAQ,DSC인베스트먼트,241520
KOSDAQ,E8,418620
KOSDAQ,EDGC,245620
KOSDAQ,EG,037370
KOSDAQ,ES큐브,050120
KOSDAQ,FSN,214270
KOSDAQ,GC메디아이,032620
KOSDAQ,GRT,900290
KOSDAQ,GST,083450
KOSDAQ,HB인베스트먼트,440290
KOSDAQ,HB테크놀러지,078150
KOSDAQ,HC홈센타,060560
KOSDAQ,HEM파마,376270
KOSDAQ,HK이노엔,195940
KOSDAQ,HLB생명과학,067630
KOSDAQ,HLB이노베이션,024850
KOSDAQ,HLB제넥스,187420
KOSDAQ,HLB테라퓨틱스,115450
KOSDAQ,HLB파나진,046210
KOSDAQ,HLB펩,196300
KOSDAQ,ISC,095340
KOSDAQ,JTC,950170
KOSDAQ,JYP Ent.,035900
KOSDAQ,KBG,318000
KOSDAQ,KBI메탈,024840
KOSDAQ,KB오토시스,024120
KOSDAQ,KD,044180
KOSDAQ,KG이니시스,035600
KOSDAQ,KG파이낸셜,046440
KOSDAQ,KH바텍,060720
KOSDAQ,KNN,058400
KOSDAQ,KS인더스트리,101000
KOSDAQ,KX,122450
KOSDAQ,KX하이텍,052900
KOSDAQ,KZ정밀,036560
KOSDAQ,LB인베스트먼트,309960
KOSDAQ,LIG아큐버,073490
KOSDAQ,LK삼양,225190
KOSDAQ,LS머트리얼즈,417200
KOSDAQ,LS티라유텍,322180
KOSDAQ,M83,476080
KOSDAQ,MDS테크,086960
KOSDAQ,NE능률,053290
KOSDAQ,NHN KCP,060250
KOSDAQ,NHN벅스,104200
KOSDAQ,NICE인프라,063570
KOSDAQ,PN풍년,024940
KOSDAQ,PS일렉트로닉스,332570
KOSDAQ,RF머트리얼즈,327260
KOSDAQ,S&K폴리텍,091340
KOSDAQ,SAMG엔터,419530
KOSDAQ,SBI인베스트먼트,019550
KOSDAQ,SCL사이언스,246960
KOSDAQ,SDN,099220
KOSDAQ,SFA,056190
KOSDAQ,SFA넥셀,222080
KOSDAQ,SG,255220
KOSDAQ,SG&G,040610
KOSDAQ,SGC E&C,016250
KOSDAQ,SM C&C,048550
KOSDAQ,SM Life Design,063440
KOSDAQ,SOOP,067160
KOSDAQ,SV인베스트먼트,289080
KOSDAQ,SY동아,041930
KOSDAQ,THE E&M,089230
KOSDAQ,TS인베스트먼트,246690
KOSDAQ,TS트릴리온,317240
KOSDAQ,YTN,040300
KOSDAQ,YW,051390
KOSDAQ,가비아,079940
KOSDAQ,가온그룹,078890
KOSDAQ,가온칩스,399720
KOSDAQ,감성코퍼레이션,036620
KOSDAQ,강동씨앤엘,198440
KOSDAQ,경남스틸,039240
KOSDAQ,고려신용정보,049720
KOSDAQ,고영,098460
KOSDAQ,골드앤에스,035290
KOSDAQ,광무,029480
KOSDAQ,광진실업,026910
KOSDAQ,구영테크,053270
KOSDAQ,국보디자인,066620
KOSDAQ,국순당,043650
KOSDAQ,국영지앤엠,006050
KOSDAQ,국일신동,060480
KOSDAQ,국일제지,078130
KOSDAQ,국전,307750
KOSDAQ,그래디언트,035080
KOSDAQ,그래피,318060
KOSDAQ,그리드위즈,453450
KOSDAQ,그리티,204020
KOSDAQ,그린리소스,402490
KOSDAQ,그린생명과학,114450
KOSDAQ,그린플러스,186230
KOSDAQ,글로본,019660
KOSDAQ,금양그린파워,282720
KOSDAQ,금화피에스시,036190
KOSDAQ,기가비스,420770
KOSDAQ,꿈비,407400
KOSDAQ,나라셀라,405920
KOSDAQ,나라엠앤디,051490
KOSDAQ,나무가,190510
KOSDAQ,나무기술,242040
KOSDAQ,나우IB,293580
KOSDAQ,나이벡,138610
KOSDAQ,나이스디앤비,130580
KOSDAQ,나인앤컴퍼니,366030
KOSDAQ,나인테크,267320
KOSDAQ,내츄럴엔도텍,168330
KOSDAQ,네오리진,094860
KOSDAQ,네오셈,253590
KOSDAQ,네오오토,212560
KOSDAQ,네오위즈,095660
KOSDAQ,네오크레마,311390
KOSDAQ,네오티스,085910
KOSDAQ,네이블,153460
KOSDAQ,네이처셀,007390
KOSDAQ,네패스,033640
KOSDAQ,네패스아크,330860
KOSDAQ,넥사다이내믹스,351320
KOSDAQ,넥스턴앤롤코리아,089140
KOSDAQ,넥스트아이,137940
KOSDAQ,넥스트칩,396270
KOSDAQ,넥스틴,348210
KOSDAQ,넥써쓰,205500
KOSDAQ,넵튠,217270
KOSDAQ,노랑풍선,104620
KOSDAQ,노머스,473980
KOSDAQ,노바렉스,194700
KOSDAQ,노바텍,285490
KOSDAQ,노브랜드,145170
KOSDAQ,노을,376930
KOSDAQ,노타,486990
KOSDAQ,누리플랜,069140
KOSDAQ,누리플렉스,040160
KOSDAQ,누보,332290
KOSDAQ,뉴보텍,060260
KOSDAQ,뉴온,123840
KOSDAQ,뉴인텍,012340
KOSDAQ,뉴키즈온,462310
KOSDAQ,뉴트리,270870
KOSDAQ,뉴파워프라즈마,144960
KOSDAQ,뉴프렉스,085670
