종목명,종목코드,시장,섹터코드,섹터명
HPSP,403870,KOSDAQ,S01,반도체·IT
SFA반도체,036540,KOSDAQ,S01,반도체·IT
레인보우로보틱스,277810,KOSDAQ,S01,반도체·IT
미래반도체,254490,KOSDAQ,S01,반도체·IT
사피엔반도체,452430,KOSDAQ,S01,반도체·IT
서울반도체,046890,KOSDAQ,S01,반도체·IT
아이티엠반도체,084850,KOSDAQ,S01,반도체·IT
어보브반도체,102120,KOSDAQ,S01,반도체·IT
원익IPS,240810,KOSDAQ,S01,반도체·IT
이오테크닉스,039030,KOSDAQ,S01,반도체·IT
제주반도체,080220,KOSDAQ,S01,반도체·IT
퀄리타스반도체,432720,KOSDAQ,S01,반도체·IT
한울반도체,320000,KOSDAQ,S01,반도체·IT
SK하이닉스,000660,KOSPI,S01,반도체·IT
한미반도체,042700,KOSPI,S01,반도체·IT
삼기에너지솔루션즈,419050,KOSDAQ,S02,2차전지·신에너지
에코프로,086520,KOSDAQ,S02,2차전지·신에너지
에코프로비엠,247540,KOSDAQ,S02,2차전지·신에너지
에코프로에이치엔,383310,KOSDAQ,S02,2차전지·신에너지
HD현대에너지솔루션,322000,KOSPI,S02,2차전지·신에너지
LG에너지솔루션,373220,KOSPI,S02,2차전지·신에너지
삼성SDI,006400,KOSPI,S02,2차전지·신에너지
삼성SDI우,006405,KOSPI,S02,2차전지·신에너지
세방전지,004490,KOSPI,S02,2차전지·신에너지
에코프로머티,450080,KOSPI,S02,2차전지·신에너지
포스코퓨처엠,003670,KOSPI,S02,2차전지·신에너지
DH오토리드,290120,KOSDAQ,S03,자동차·부품
DH오토웨어,025440,KOSDAQ,S03,자동차·부품
KB오토시스,024120,KOSDAQ,S03,자동차·부품
네오오토,212560,KOSDAQ,S03,자동차·부품
모비스,250060,KOSDAQ,S03,자동차·부품
서진오토모티브,122690,KOSDAQ,S03,자동차·부품
성창오토텍,080470,KOSDAQ,S03,자동차·부품
알에스오토메이션,140670,KOSDAQ,S03,자동차·부품
엠에스오토텍,123040,KOSDAQ,S03,자동차·부품
오토앤,353590,KOSDAQ,S03,자동차·부품
코닉오토메이션,391710,KOSDAQ,S03,자동차·부품
DH오토넥스,000300,KOSPI,S03,자동차·부품
DN오토모티브,007340,KOSPI,S03,자동차·부품
HL만도,204320,KOSPI,S03,자동차·부품
기아,000270,KOSPI,S03,자동차·부품
새론오토모티브,075180,KOSPI,S03,자동차·부품
현대글로비스,086280,KOSPI,S03,자동차·부품
현대모비스,012330,KOSPI,S03,자동차·부품
현대오토에버,307950,KOSPI,S03,자동차·부품
현대차,005380,KOSPI,S03,자동차·부품
현대차2우B,005387,KOSPI,S03,자동차·부품
현대차3우B,005389,KOSPI,S03,자동차·부품
현대차우,005385,KOSPI,S03,자동차·부품
디지틀조선,033130,KOSDAQ,S04,조선·방산
HD한국조선해양,009540,KOSPI,S04,조선·방산
HD현대중공업,329180,KOSPI,S04,조선·방산
HJ중공업,097230,KOSPI,S04,조선·방산
대한조선,439260,KOSPI,S04,조선·방산
두산에너빌리티,034020,KOSPI,S04,조선·방산
삼성중공업,010140,KOSPI,S04,조선·방산
세진중공업,075580,KOSPI,S04,조선·방산
