종목명,종목코드,시장,섹터코드,섹터명,기존섹터코드,기존섹터명,분류근거,매칭방식,검토신뢰도,추가검토필요
3S,060310,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
DGI,099520,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
DH오토웨어,025440,KOSDAQ,S01,반도체·디스플레이·전자,S03,금융·보험·투자,한국거래소 공식 업종,AI+수동검토,높음,True
DMS,068790,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
HB테크놀러지,078150,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
HLB이노베이션,024850,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
HPSP,403870,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
ISC,095340,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
KH바텍,060720,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
KX하이텍,052900,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
LB세미콘,061970,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
LK삼양,225190,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
LS머트리얼즈,417200,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
PS일렉트로닉스,332570,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
RFHIC,218410,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
RF머트리얼즈,327260,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
S&K폴리텍,091340,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
SFA반도체,036540,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
가온칩스,399720,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
고영,098460,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
그린광학,0015G0,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
그린리소스,402490,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
기가레인,049080,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
기가비스,420770,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
나노,187790,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
나노실리칸첨단소재,286750,KOSDAQ,S01,반도체·디스플레이·전자,S08,조선·방산·우주,자동 패턴 매칭,키워드,높음,False
나노씨엠에스,247660,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
나노엔텍,039860,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
나노팀,417010,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
나래나노텍,137080,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
나무가,190510,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
네오셈,253590,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
네패스,033640,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
네패스아크,330860,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
넥스트아이,137940,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
넥스트칩,396270,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
넥스틴,348210,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
뉴프렉스,085670,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
다산솔루에타,154040,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
더코디,224060,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
덕산네오룩스,213420,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
덕산테코피아,317330,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
덕산하이메탈,077360,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
덕우전자,263600,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
도우인시스,484120,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
동아엘텍,088130,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
동운아나텍,094170,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
동일기연,032960,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
동진쎄미켐,005290,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
두산테스나,131970,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
디바이스,187870,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
디아이티,110990,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
디에이피,066900,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
디지아이,043360,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
디케이티,290550,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
디티씨,066670,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
딜리,131180,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
라온텍,418420,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
라온피플,300120,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
램테크놀러지,171010,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
러셀,217500,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
레몬,294140,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,분류보류→수동보정,AI+수동검토,낮음,True
레이크머티리얼즈,281740,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
레인보우로보틱스,277810,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
루멘스,038060,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
리노공업,058470,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
링크드,193250,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
링크제니시스,219420,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
마이크로디지탈,305090,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
마이크로컨텍솔,098120,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
마이크로투나노,424980,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
매커스,093520,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
메카로,241770,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
모베이스전자,012860,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
모아텍,033200,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
