종목명,종목코드,시장
3S,060310,KOSDAQ
APS,054620,KOSDAQ
APS이노베이션,079810,KOSDAQ
AP시스템,265520,KOSDAQ
AP위성,211270,KOSDAQ
BGF에코머티리얼즈,126600,KOSDAQ
CG인바이츠,083790,KOSDAQ
CJ ENM,035760,KOSDAQ
CJ프레시웨이,051500,KOSDAQ
CNT85,056730,KOSDAQ
CS,065770,KOSDAQ
CSA 코스믹,083660,KOSDAQ
DGI,099520,KOSDAQ
DMS,068790,KOSDAQ
DSC인베스트먼트,241520,KOSDAQ
DXVX,180400,KOSDAQ
E8,418620,KOSDAQ
EDGC,245620,KOSDAQ
EG,037370,KOSDAQ
ES큐브,050120,KOSDAQ
FSN,214270,KOSDAQ
GC메디아이,032620,KOSDAQ
GRT,900290,KOSDAQ
GST,083450,KOSDAQ
HB솔루션,297890,KOSDAQ
HB인베스트먼트,440290,KOSDAQ
HB테크놀러지,078150,KOSDAQ
HC보광산업,225530,KOSDAQ
HC홈센타,060560,KOSDAQ
HEM파마,376270,KOSDAQ
HK이노엔,195940,KOSDAQ
HLB생명과학,067630,KOSDAQ
HLB이노베이션,024850,KOSDAQ
HLB제넥스,187420,KOSDAQ
HLB테라퓨틱스,115450,KOSDAQ
HLB파나진,046210,KOSDAQ
HLB펩,196300,KOSDAQ
HRS,036640,KOSDAQ
IBKS제23호스팩,467930,KOSDAQ
IBKS제24호스팩,469480,KOSDAQ
IBKS제25호스팩,0099X0,KOSDAQ
ISC,095340,KOSDAQ
JTC,950170,KOSDAQ
JW신약,067290,KOSDAQ
JYP Ent.,035900,KOSDAQ
KBG,318000,KOSDAQ
KBI메탈,024840,KOSDAQ
KB제29호스팩,478390,KOSDAQ
KB제30호스팩,486630,KOSDAQ
KB제31호스팩,492220,KOSDAQ
KB제32호스팩,0037T0,KOSDAQ
KB제33호스팩,0072Z0,KOSDAQ
KD,044180,KOSDAQ
KG에코솔루션,151860,KOSDAQ
KG이니시스,035600,KOSDAQ
KG파이낸셜,046440,KOSDAQ
KH바텍,060720,KOSDAQ
KNN,058400,KOSDAQ
KS인더스트리,101000,KOSDAQ
KT나스미디어,089600,KOSDAQ
KT밀리의서재,418470,KOSDAQ
KT지니뮤직,043610,KOSDAQ
KX,122450,KOSDAQ
KX하이텍,052900,KOSDAQ
KZ정밀,036560,KOSDAQ
LB세미콘,061970,KOSDAQ
LB인베스트먼트,309960,KOSDAQ
LIG아큐버,073490,KOSDAQ
LK삼양,225190,KOSDAQ
LSK아이로봇,091970,KOSDAQ
LS마린솔루션,060370,KOSDAQ
LS머트리얼즈,417200,KOSDAQ
LS티라유텍,322180,KOSDAQ
M83,476080,KOSDAQ
MDS테크,086960,KOSDAQ
NEW,160550,KOSDAQ
NE능률,053290,KOSDAQ
NHN KCP,060250,KOSDAQ
NHN벅스,104200,KOSDAQ
NICE인프라,063570,KOSDAQ
PN풍년,024940,KOSDAQ
PS일렉트로닉스,332570,KOSDAQ
RFHIC,218410,KOSDAQ
RF머트리얼즈,327260,KOSDAQ
RF시스템즈,474610,KOSDAQ
S&K폴리텍,091340,KOSDAQ
SAMG엔터,419530,KOSDAQ
SBI인베스트먼트,019550,KOSDAQ
